Date : 2024-09-30 11:16:33
Directory : c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react
Total : 293 files,  33119 codes, 507 comments, 1217 blanks, all 34843 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\core\utils\style.ts                                                                              | TypeScript         |          3 |          3 |          1 |          7 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\aboutMe\AboutMe.module.scss                                                             | SCSS               |         14 |          0 |          2 |         16 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\aboutMe\AboutMe.tsx                                                                     | TypeScript JSX     |         16 |          0 |          2 |         18 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\aboutMe\IAboutMeProps.ts                                                                | TypeScript         |          1 |          0 |          0 |          1 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\aboutMe\aboutMeItem\AboutMeItem.module.scss                                             | SCSS               |         25 |          0 |          4 |         29 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\aboutMe\aboutMeItem\AboutMeItem.tsx                                                     | TypeScript JSX     |         13 |          0 |          2 |         15 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\aboutMe\aboutMeItem\IAboutMeItemProps.ts                                                | TypeScript         |          6 |          0 |          2 |          8 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\aboutMe\certificates\Certificates.module.scss                                           | SCSS               |          9 |          0 |          2 |         11 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\aboutMe\certificates\Certificates.tsx                                                   | TypeScript JSX     |         21 |          0 |          3 |         24 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\aboutMe\certificates\ICertificatesProps.ts                                              | TypeScript         |          2 |          0 |          2 |          4 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\aboutMe\education\Education.module.scss                                                 | SCSS               |         21 |          0 |          5 |         26 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\aboutMe\education\Education.tsx                                                         | TypeScript JSX     |         31 |          0 |          3 |         34 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\aboutMe\education\IEducationProps.ts                                                    | TypeScript         |          2 |          0 |          2 |          4 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\aboutMe\languages\ILanguagesProps.ts                                                    | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\aboutMe\languages\Languages.module.scss                                                 | SCSS               |          9 |          0 |          2 |         11 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\aboutMe\languages\Languages.tsx                                                         | TypeScript JSX     |         21 |          0 |          2 |         23 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\aboutMe\professionalExperience\IProfessionalExperienceProps.ts                          | TypeScript         |          2 |          0 |          2 |          4 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\aboutMe\professionalExperience\ProfessionalExperience.module.scss                       | SCSS               |         27 |          0 |          7 |         34 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\aboutMe\professionalExperience\ProfessionalExperience.tsx                               | TypeScript JSX     |         28 |         27 |          6 |         61 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\background\Background.module.scss                                                       | SCSS               |          8 |          0 |          1 |          9 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\background\Background.tsx                                                               | TypeScript JSX     |         13 |          0 |          3 |         16 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\banner\Banner.module.scss                                                               | SCSS               |        229 |          3 |         50 |        282 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\banner\Banner.tsx                                                                       | TypeScript JSX     |         65 |          0 |          4 |         69 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\burgerMenu\BurgerMenu.module.scss                                                       | SCSS               |         45 |          0 |          6 |         51 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\burgerMenu\BurgerMenu.tsx                                                               | TypeScript JSX     |         39 |          0 |          3 |         42 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\burgerMenu\IBurgerMenuProps.ts                                                          | TypeScript         |          5 |          0 |          1 |          6 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\buyMeACoffeeLink\BuyMeACoffeeLink.module.scss                                           | SCSS               |          7 |          0 |          1 |          8 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\buyMeACoffeeLink\BuyMeACoffeeLink.tsx                                                   | TypeScript JSX     |         19 |          0 |          3 |         22 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\buyMeACoffeeLink\IBuyMeACoffeeLinkProps.ts                                              | TypeScript         |          2 |          0 |          2 |          4 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\footer\Footer.module.scss                                                               | SCSS               |         10 |          0 |          1 |         11 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\footer\Footer.tsx                                                                       | TypeScript JSX     |         30 |          0 |          4 |         34 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\footer\IFooterProps.ts                                                                  | TypeScript         |          2 |          0 |          2 |          4 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\googlePlay\GooglePlay.module.scss                                                       | SCSS               |          3 |          0 |          0 |          3 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\googlePlay\GooglePlay.tsx                                                               | TypeScript JSX     |         25 |          0 |          3 |         28 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\googlePlay\IGooglePlayProps.ts                                                          | TypeScript         |          4 |          0 |          2 |          6 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\header\Header.module.scss                                                               | SCSS               |         38 |          0 |          5 |         43 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\header\Header.tsx                                                                       | TypeScript JSX     |         52 |          1 |          4 |         57 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\header\IHeaderProps.ts                                                                  | TypeScript         |          8 |          0 |          1 |          9 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\imprint\Imprint.module.scss                                                             | SCSS               |         15 |          0 |          3 |         18 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\imprint\Imprint.tsx                                                                     | TypeScript JSX     |        155 |          0 |          2 |        157 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\language\ILanguageProps.ts                                                              | TypeScript         |          2 |          0 |          2 |          4 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\language\Language.module.scss                                                           | SCSS               |         18 |          0 |          4 |         22 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\language\Language.tsx                                                                   | TypeScript JSX     |         34 |          0 |          3 |         37 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\pageSection\IPageSectionProps.ts                                                        | TypeScript         |         11 |          0 |          2 |         13 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\pageSection\PageSection.module.scss                                                     | SCSS               |         22 |          0 |          4 |         26 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\pageSection\PageSection.tsx                                                             | TypeScript JSX     |         40 |          0 |          5 |         45 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\privacyPolicy\PrivacyPolicy.module.scss                                                 | SCSS               |          9 |          0 |          2 |         11 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\privacyPolicy\PrivacyPolicy.tsx                                                         | TypeScript JSX     |        681 |          0 |          2 |        683 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\productButton\IProductButtonProps.ts                                                    | TypeScript         |          7 |          0 |          2 |          9 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\productButton\ProductButton.module.scss                                                 | SCSS               |         26 |          1 |          2 |         29 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\productButton\ProductButton.tsx                                                         | TypeScript JSX     |         16 |          0 |          2 |         18 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\projects\projectDetails\challenge\Challenge.module.scss                                 | SCSS               |          7 |          0 |          2 |          9 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\projects\projectDetails\challenge\Challenge.tsx                                         | TypeScript JSX     |          5 |          0 |          2 |          7 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\projects\projectDetails\challenge\IChallengeProps.ts                                    | TypeScript         |          3 |          0 |          1 |          4 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\projects\projectDetails\customer\Customer.module.scss                                   | SCSS               |         23 |          0 |          5 |         28 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\projects\projectDetails\customer\Customer.tsx                                           | TypeScript JSX     |         32 |          0 |          2 |         34 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\projects\projectDetails\customer\ICustomerProps.ts                                      | TypeScript         |          4 |          0 |          2 |          6 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\projects\projectDetails\myTasks\IMyTasksProps.ts                                        | TypeScript         |          4 |          0 |          2 |          6 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\projects\projectDetails\myTasks\MyTasks.module.scss                                     | SCSS               |         15 |          0 |          2 |         17 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\projects\projectDetails\myTasks\MyTasks.tsx                                             | TypeScript JSX     |          9 |          0 |          2 |         11 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\projects\projectDetails\myTasks\task\ITaskProps.ts                                      | TypeScript         |          4 |          0 |          2 |          6 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\projects\projectDetails\myTasks\task\Task.module.scss                                   | SCSS               |         10 |          0 |          2 |         12 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\projects\projectDetails\myTasks\task\Task.tsx                                           | TypeScript JSX     |         23 |          0 |          4 |         27 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\projects\projectDetails\myTasks\task\taskIcon\ITaskIconProps.ts                         | TypeScript         |          5 |          0 |          2 |          7 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\projects\projectDetails\myTasks\task\taskIcon\TaskIcon.tsx                              | TypeScript JSX     |         24 |          0 |          3 |         27 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\projects\projectDetails\projectDetails\IProjectDetailsProps.ts                          | TypeScript         |          5 |          0 |          2 |          7 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\projects\projectDetails\projectDetails\ProjectDetails.module.scss                       | SCSS               |         15 |          0 |          3 |         18 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\projects\projectDetails\projectDetails\ProjectDetails.tsx                               | TypeScript JSX     |         92 |          0 |          7 |         99 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\projects\projectDetails\requirements\IRequirementsProps.ts                              | TypeScript         |          3 |          0 |          1 |          4 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\projects\projectDetails\requirements\Requirements.module.scss                           | SCSS               |          7 |          0 |          2 |          9 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\projects\projectDetails\requirements\Requirements.tsx                                   | TypeScript JSX     |         12 |          0 |          3 |         15 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\projects\projectDetails\techStack\ITechStackProps.ts                                    | TypeScript         |          6 |          0 |          2 |          8 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\projects\projectDetails\techStack\TechStack.module.scss                                 | SCSS               |         16 |          0 |          3 |         19 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\projects\projectDetails\techStack\TechStack.tsx                                         | TypeScript JSX     |         17 |          0 |          2 |         19 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\projects\projectDetails\techStack\technologyCollection\ITechnologyCollectionProps.ts    | TypeScript         |          5 |          0 |          2 |          7 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\projects\projectDetails\techStack\technologyCollection\TechnologyCollection.module.scss | SCSS               |          4 |          0 |          1 |          5 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\projects\projectDetails\techStack\technologyCollection\TechnologyCollection.tsx         | TypeScript JSX     |         46 |          0 |          3 |         49 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\projects\projectDetails\techStack\technologyTypeIcon\ITechnologyTypeIconProps.ts        | TypeScript         |          5 |          0 |          2 |          7 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\projects\projectDetails\techStack\technologyTypeIcon\TechnologyTypeIcon.tsx             | TypeScript JSX     |         47 |          0 |          3 |         50 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\projects\projectDetails\usage\IUsageProps.ts                                            | TypeScript         |          3 |          0 |          1 |          4 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\projects\projectDetails\usage\Usage.module.scss                                         | SCSS               |          7 |          0 |          2 |          9 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\projects\projectDetails\usage\Usage.tsx                                                 | TypeScript JSX     |         12 |          0 |          3 |         15 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\projects\projectList\ProjectList.module.scss                                            | SCSS               |         13 |          0 |          3 |         16 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\projects\projectList\ProjectList.tsx                                                    | TypeScript JSX     |         29 |          0 |          4 |         33 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\projects\project\IProjectProps.ts                                                       | TypeScript         |          4 |          0 |          2 |          6 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\projects\project\Project.module.scss                                                    | SCSS               |         71 |          0 |         17 |         88 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\projects\project\Project.tsx                                                            | TypeScript JSX     |         64 |          0 |          6 |         70 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\simplePage\ISimplePageProps.ts                                                          | TypeScript         |          2 |          0 |          2 |          4 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\simplePage\SimplePage.module.scss                                                       | SCSS               |         18 |          0 |          4 |         22 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\simplePage\SimplePage.tsx                                                               | TypeScript JSX     |         23 |          0 |          4 |         27 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\skills\Skills.module.scss                                                               | SCSS               |         35 |          0 |          7 |         42 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\skills\Skills.tsx                                                                       | TypeScript JSX     |         66 |          0 |          4 |         70 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\skills\skillAccordion\ISkillAccordionProps.ts                                           | TypeScript         |          4 |          0 |          2 |          6 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\skills\skillAccordion\SkillAccordion.module.scss                                        | SCSS               |         12 |          0 |          3 |         15 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\skills\skillAccordion\SkillAccordion.tsx                                                | TypeScript JSX     |         16 |          0 |          2 |         18 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\skills\skillCard\ISkillCardProps.ts                                                     | TypeScript         |          4 |          0 |          2 |          6 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\skills\skillCard\SkillCard.module.scss                                                  | SCSS               |         50 |          1 |         11 |         62 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\skills\skillCard\SkillCard.tsx                                                          | TypeScript JSX     |         15 |          0 |          2 |         17 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\skills\skillContent\ISkillContentProps.ts                                               | TypeScript         |          4 |          0 |          2 |          6 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\skills\skillContent\SkillContent.module.scss                                            | SCSS               |         29 |          0 |          5 |         34 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\skills\skillContent\SkillContent.tsx                                                    | TypeScript JSX     |         13 |          0 |          2 |         15 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\socialMedia\ISocialMediaProps.ts                                                        | TypeScript         |          2 |          0 |          2 |          4 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\socialMedia\SocialMedia.module.scss                                                     | SCSS               |         21 |          1 |          5 |         27 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\socialMedia\SocialMedia.tsx                                                             | TypeScript JSX     |         29 |          0 |          3 |         32 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\technologies\Technologies.module.scss                                                   | SCSS               |         21 |          0 |          5 |         26 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\technologies\Technologies.tsx                                                           | TypeScript JSX     |         23 |          0 |          3 |         26 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\technologies\useTechnologiesViewModel.ts                                                | TypeScript         |         32 |          0 |          6 |         38 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\testimonials\Testimonials.module.scss                                                   | SCSS               |         17 |          0 |          3 |         20 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\testimonials\Testimonials.tsx                                                           | TypeScript JSX     |         28 |          0 |          4 |         32 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\testimonials\testimonial\ITestimonialProps.ts                                           | TypeScript         |          4 |          0 |          2 |          6 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\testimonials\testimonial\Testimonial.module.scss                                        | SCSS               |         27 |          0 |          6 |         33 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\features\testimonials\testimonial\Testimonial.tsx                                                | TypeScript JSX     |         25 |          0 |          2 |         27 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\hooks\useLanguage\types\Language.ts                                                              | TypeScript         |          4 |          0 |          1 |          5 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\hooks\useLanguage\useLanguage.ts                                                                 | TypeScript         |          8 |          0 |          2 |         10 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\hooks\useLanguage\useLanguageStorage.ts                                                          | TypeScript         |         25 |          0 |          4 |         29 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\hooks\useRenderMonth.ts                                                                          | TypeScript         |         69 |          0 |          3 |         72 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\hooks\useScreenSize.ts                                                                           | TypeScript         |         20 |          0 |          5 |         25 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\hooks\useSignal.ts                                                                               | TypeScript         |         13 |          5 |          4 |         22 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\hooks\useSubtaskName.ts                                                                          | TypeScript         |         39 |          0 |          4 |         43 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\hooks\useTaskName.ts                                                                             | TypeScript         |         23 |          0 |          4 |         27 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\hooks\useTechnologyTypeName.ts                                                                   | TypeScript         |         45 |          0 |          4 |         49 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\hooks\useToggle.ts                                                                               | TypeScript         |          9 |          0 |          3 |         12 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\hooks\useTranslation\components\IPlaceholderTextProps.ts                                         | TypeScript         |          4 |          6 |          2 |         12 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\hooks\useTranslation\components\PlaceholderText.module.scss                                      | SCSS               |          3 |          0 |          1 |          4 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\hooks\useTranslation\components\PlaceholderText.tsx                                              | TypeScript JSX     |         15 |          3 |          4 |         22 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\hooks\useTranslation\texts.ts                                                                    | TypeScript         |         26 |         27 |          4 |         57 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\hooks\useTranslation\types\ITranslation.ts                                                       | TypeScript         |          6 |         12 |          2 |         20 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\hooks\useTranslation\types\Placeholder.ts                                                        | TypeScript         |          1 |          4 |          1 |          6 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\hooks\useTranslation\useTranslation.ts                                                           | TypeScript         |         34 |         52 |         10 |         96 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\hooks\useTranslation\utils\containsObjectProp.ts                                                 | TypeScript         |          8 |          7 |          1 |         16 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\hooks\useTranslation\utils\fillPlaceholders.tsx                                                  | TypeScript JSX     |         14 |          7 |          3 |         24 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\hooks\useTranslation\utils\fillTextPlaceholders.ts                                               | TypeScript         |         10 |          3 |          1 |         14 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\hooks\useTranslation\utils\findObjectPlaceholder.ts                                              | TypeScript         |         22 |          4 |          2 |         28 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\hooks\useTranslation\utils\isPlaceholderExpression.ts                                            | TypeScript         |          3 |          6 |          1 |         10 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\hooks\useTranslation\utils\toPlaceholderExpression.ts                                            | TypeScript         |          3 |          6 |          1 |         10 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\hooks\useWindowDimensions.ts                                                                     | TypeScript         |         21 |          0 |          6 |         27 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\i18n\LanguageConfig.ts                                                                           | TypeScript         |          5 |          0 |          2 |          7 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\i18n\de.json                                                                                     | JSON               |        196 |          0 |          0 |        196 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\i18n\en.json                                                                                     | JSON               |        196 |          0 |          0 |        196 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\i18n\index.js                                                                                    | JavaScript         |          2 |          0 |          1 |          3 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\index.scss                                                                                       | SCSS               |         34 |          0 |          6 |         40 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\index.tsx                                                                                        | TypeScript JSX     |         10 |          2 |          2 |         14 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\navItems\INavItems.ts                                                                            | TypeScript         |          9 |          0 |          2 |         11 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\pages\ImprintPage.tsx                                                                            | TypeScript JSX     |          7 |          0 |          2 |          9 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\pages\Page.module.scss                                                                           | SCSS               |         25 |          0 |          7 |         32 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\pages\Page.tsx                                                                                   | TypeScript JSX     |        147 |          5 |          7 |        159 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\pages\PrivacyPolicyPage.tsx                                                                      | TypeScript JSX     |          7 |          0 |          2 |          9 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\products\ProductsPage.module.scss                                                                | SCSS               |          3 |          0 |          0 |          3 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\products\ProductsPage.tsx                                                                        | TypeScript JSX     |         12 |          0 |          2 |         14 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\products\model\IProducer.ts                                                                      | TypeScript         |          4 |          0 |          1 |          5 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\products\model\IProduct.ts                                                                       | TypeScript         |         11 |          0 |          2 |         13 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\products\productList\IProductListProps.ts                                                        | TypeScript         |          4 |          0 |          2 |          6 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\products\productList\ProductList.module.scss                                                     | SCSS               |         16 |          0 |          2 |         18 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\products\productList\ProductList.tsx                                                             | TypeScript JSX     |         18 |          0 |          3 |         21 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\products\productSection\ProductSection.tsx                                                       | TypeScript JSX     |         47 |          0 |          4 |         51 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\products\product\IProductProps.ts                                                                | TypeScript         |          4 |          0 |          2 |          6 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\products\product\Product.module.scss                                                             | SCSS               |         62 |          0 |         13 |         75 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\products\product\Product.tsx                                                                     | TypeScript JSX     |         75 |          0 |          6 |         81 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\products\products.html                                                                           | HTML               |      5,264 |          0 |          1 |      5,265 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\products\static\css\main.534119a2.css                                                            | CSS                |      1,562 |          1 |        305 |      1,868 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\react-app-env.d.ts                                                                               | TypeScript         |          0 |          1 |          1 |          2 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\routes\AppRouter.tsx                                                                             | TypeScript JSX     |         12 |          0 |          2 |         14 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\routes\AppRoutes.ts                                                                              | TypeScript         |          8 |          0 |          2 |         10 |
| c:\Users\vtewe\VisualStudioCodeProjects\my-portfolio.react\src\routes\core\ParamRoute.ts                                                                        | TypeScript         |         12 |          3 |          3 |         18 |
